SURVEY_ID,PARTICIPANT_ID,QUESTION_ID,ANSWER_ID
401765993,7484575129,76376760,"609307274"
401765993,7484575129,76376761,"609307282"
401765993,7484575129,76376762,"609307289"
401765993,7484575129,76376763,"609307295"
401765993,7484575129,76376764,"609307303"
401765993,7484575129,76376765,"609307311"
401765993,7484575129,76376767,"609307324"
401765993,7484575129,76376766,"609307317"
401765993,7484575129,76376768,"This was completely messed up. Terrible. .  I wound up paying for everything even though I was hurt at work . I recieved a letter stating that I had to respond in five days from the date the letter was SENT .  It was sent regular mail and was already to late by the time I got the notice.  I was not informed of the process until it was to late to do anything. this has been really hard on me. my eyes were burnt , it was very painfl. I had to use my vacation time and have been working overtime to pay the medical bills. Again, I was hurt at work, litterally in the same building I was treated at (UC hospital)  while working on equipment in the building, it couldnt be more clear cut. . "
401765993,7484575132,76376760,"609307273"
401765993,7484575132,76376761,"609307281"
401765993,7484575132,76376762,"609307287"
401765993,7484575132,76376763,"609307293"
401765993,7484575132,76376764,"609307300"
401765993,7484575132,76376765,"609307309"
401765993,7484575132,76376767,"609307324"
401765993,7484575132,76376766,"609307316"
401765993,7484575132,76376768,"Very frustrating process. The left hand doesn t know what the right hand is doing and only makes decisions based on a book or note. The bureau doctors are a joke and don t even lay a hand or allow patients to describe or explain issues."
401765993,7501958426,76376760,"609307271"
401765993,7501958426,76376761,"609307278"
401765993,7501958426,76376762,"609307290"
401765993,7501958426,76376763,"609307293"
401765993,7501958426,76376764,"609307299"
401765993,7501958426,76376765,"609307306"
401765993,7501958426,76376767,"609307320"
401765993,7501958426,76376766,"609307313"
401765993,7501958426,76376768,"Very staisfied with the entire process.  "
401765993,7501958443,76376760,"609307271"
401765993,7501958443,76376761,"609307279"
401765993,7501958443,76376762,"609307290"
401765993,7501958443,76376763,"609307293"
401765993,7501958443,76376764,"609307304"
401765993,7501958443,76376765,"609307307"
401765993,7501958443,76376767,"609307322"
401765993,7501958443,76376766,"609307314"
401765993,7501958459,76376760,"609307270"
401765993,7501958459,76376761,"609307278"
401765993,7501958459,76376762,"609307290"
401765993,7501958459,76376763,"609307292"
401765993,7501958459,76376764,"609307304"
401765993,7501958459,76376765,"609307306"
401765993,7501958459,76376767,"609307322"
401765993,7501958459,76376766,"609307313"
401765993,7501958459,76376768,"I was pleasantly surprised with how fast my case was opened and shut. "
401765993,7376478975,76376760,"609307273"
401765993,7376478975,76376761,"609307281"
401765993,7376478975,76376762,"609307290"
401765993,7376478975,76376763,"609307297"
401765993,7376478975,76376764,"609307304"
401765993,7376478975,76376765,"609307310"
401765993,7376478975,76376767,"609307323"
401765993,7376478975,76376766,"609307317"
401765993,7376478975,76376768,"The dental office is still waiting to hear exactly what they need to do to be reimbursed. So far, they have gotten two different responses,  the first, that they are out of network and need to be put back into network to proceed, and the second, that they may get paid without being in network."
401765993,7501958477,76376760,"609307270"
401765993,7501958477,76376761,"609307278"
401765993,7501958477,76376762,"609307285"
401765993,7501958477,76376763,"609307292"
401765993,7501958477,76376764,"609307299"
401765993,7501958477,76376765,"609307306"
401765993,7501958477,76376767,"609307321"
401765993,7501958477,76376766,"609307313"
401765993,7501958478,76376760,"609307271"
401765993,7501958478,76376761,"609307279"
401765993,7501958478,76376762,"609307286"
401765993,7501958478,76376763,"609307293"
401765993,7501958478,76376764,"609307300"
401765993,7501958478,76376765,"609307307"
401765993,7501958478,76376767,"609307321"
401765993,7501958478,76376766,"609307314"
401765993,7376478934,76376760,"609307274"
401765993,7376478934,76376761,"609307282"
401765993,7376478934,76376762,"609307289"
401765993,7376478934,76376763,"609307294"
401765993,7376478934,76376764,"609307304"
401765993,7376478934,76376765,"609307309"
401765993,7376478934,76376767,"609307323"
401765993,7376478934,76376766,"609307316"
401765993,7501958449,76376760,"609307271"
401765993,7501958449,76376761,"609307279"
401765993,7501958449,76376762,"609307286"
401765993,7501958449,76376763,"609307292"
