SURVEY_ID,QUESTION_ID,ANSWER_ID,ANSWER_TXT
301195553,609203348,4007262585,"N/A"
301195553,609203348,4007262579,"Very satisfied"
301195553,609203348,4007262580,"Satisfied"
301195553,609203348,4007262581,"Neutral"
301195553,609203348,4007262582,"Dissatisfied"
301195553,609203348,4007262583,"Very dissatisfied"
301195553,609203349,4007262592,"N/A"
301195553,609203349,4007262587,"Very satisfied"
301195553,609203349,4007262588,"Satisfied"
301195553,609203349,4007262589,"Neutral"
301195553,609203349,4007262590,"Dissatisfied"
301195553,609203349,4007262591,"Very Dissatisfied"
301195553,609203350,4007262599,"N/A"
301195553,609203350,4007262594,"Very satisfied"
301195553,609203350,4007262595,"Satisfied"
301195553,609203350,4007262596,"Neutral"
301195553,609203350,4007262597,"Dissatisfied"
301195553,609203350,4007262598,"Very dissatisfied"
301195553,609203351,4007262606,"N/A"
301195553,609203351,4007262601,"Very satisfied"
301195553,609203351,4007262602,"Satisfied"
301195553,609203351,4007262603,"Neutral"
301195553,609203351,4007262604,"Dissatisfied"
301195553,609203351,4007262605,"Very dissatisfied"
301195553,609203352,4007262613,"N/A"
301195553,609203352,4007262608,"Very satisfied"
301195553,609203352,4007262609,"Satisfied"
301195553,609203352,4007262610,"Neutral"
301195553,609203352,4007262611,"Dissatisfied"
301195553,609203352,4007262612,"Very dissatisfied"
301195553,609208675,4007293675,"N/A"
301195553,609208675,4007293670,"Very satisfied"
301195553,609208675,4007293671,"Satisfied"
301195553,609208675,4007293672,"Neutral"
301195553,609208675,4007293673,"Dissatisfied"
301195553,609208675,4007293674,"Very dissatisfied"
301195553,609215708,4007352429,"N/A"
301195553,609215708,4007336728,"Very satisfied"
301195553,609215708,4007336729,"Satisfied"
301195553,609215708,4007336730,"Neutral"
301195553,609215708,4007336731,"Dissatisfied"
301195553,609215708,4007336732,"Very dissatisfied"
301195553,609219456,4007358481,"N/A"
301195553,609219456,4007358476,"Very satisfied"
301195553,609219456,4007358477,"Satisfied"
301195553,609219456,4007358478,"Neutral"
301195553,609219456,4007358479,"Dissatisfied"
301195553,609219456,4007358480,"Very dissatisfied"
