id	recipient_id	collection_mode	response_status	custom_value	first_name	last_name	email_address	ip_address	language	page_path	collector_id	survey_id	edit_url	analyze_url	total_time	date_modified	date_created	href	pages
13078887031		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=udIpcWE7Da6b8vFioJSWwWcsMCq6F3Yv51_2FO3baIcKCZY3eniATNpWeCR8NqVUpL	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13078887031	331	2021-10-27T18:22:23+00:00	2021-10-27T18:16:51+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13078887031	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'I thought each presenter did a nice job, yes my questions were answered.'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'I forgot to ask about the WL cases and when they need to be updated.'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'Yes, but I do feel like we spend a lot of time on these and we are not even paying the IW, but the info gathering takes just as much time and energy.'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'Transitioning claims to RTW and back. The CSS needs to be sure they are doing their investigations and sending claims back to RTW quickly.'}]}]}]
13078888651		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=lC44Tiz6G_2FZqiw2VIOahUl0wIs_2BeRX_2BaCg04ClL062HJz8LaPCnT28r6JeVs4pFK	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13078888651	245	2021-10-27T18:22:54+00:00	2021-10-27T18:18:49+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13078888651	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'Yes, need more examples of claims asking for more than one issue '}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'Given examples of the policy vs work flow, how each Audit question per actions.'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'The C55 form needs updated, hard to get wages from EOR, good on examples of OIL/sick time.'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'Always need Schedule Loss of use, Audit reviews update to better work-flows.  Working Wage loss '}]}]}]
13078975287		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=jlfM_2ByP8eLg3s8tc_2ByyaaH02XcoNan_2BxJZbR73FBfONnvtj_2FwJfpc3JkLEg8SiRf	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13078975287	566	2021-10-27T18:50:06+00:00	2021-10-27T18:40:40+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13078975287	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'Yes, it was very helpful and a good reminder for staff'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'I learned that WL/NWWL should be staffed more than it is now.  '}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'Salary continuation, if captured correctly, should have already been addressed at the Intake or RTW levels.  It should be a rare occasion where it needs to be addressed by RAW, as the injured worker has already returned to work.'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'Close period of TT investigations'}]}]}]
13079019264		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=7dojl3yzc_2FUTVB7GS6aYNxdALyvuIeOZ2sp5bGD1e4QHGiwVOux_2BodrwxvU0U3Vs	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13079019264	74	2021-10-27T19:03:53+00:00	2021-10-27T19:02:39+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13079019264	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'yes'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'job searches '}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'yes'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'TT closed periods '}]}]}]
13079224448		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=qTPatz_2F6ouYciTLx_2ByX5hqgBvgqyB_2BUvmzXp55NfiIUjz5FLvFx1l693zHjYKTDF	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13079224448	251	2021-10-27T20:14:23+00:00	2021-10-27T20:10:12+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13079224448	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'yes'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'Verification on job search - I thought that was done away with. And putting IW on notice when they dont do good faith job search as they were told'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'yes'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'Loss of Use and I think we could go over due process again if audits dont get better. I feel employees may still need help on this - They get the C86 & C9 mixed up.'}]}]}]
13079289924		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=q2WUC1gijtrPdutAGq9hpctAO7gOwZZ1TxFLI3BPg6dP6wuK7t_2Bi2MBSPzIzemjn	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13079289924	43	2021-10-27T20:39:01+00:00	2021-10-27T20:38:18+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13079289924	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'Yes'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'n/a'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'Yes'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'n/a'}]}]}]
13081180881		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=zeiMmYzZsLpXWt7MxaiEjgBrzxh3GufMVuR9r3uzkKptbu38GPrpbiVhTFLEb_2FO2	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13081180881	434	2021-10-28T11:41:13+00:00	2021-10-28T11:33:58+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13081180881	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'It was somewhat helpful but not all of my questions were answered.'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'The possibility of investigating job search.'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'Vaguely helpful but there was still a lot of grey areas.'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'Forms and TT, bill payment and statute of limitations, disability management'}]}]}]
13081235487		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=C_2F_2BlbBsg3D4oRQYXjJ_2BYkSPLCwftUx4m7DP3lfNuR4rgthB7L5gaoHbubYLHEezq	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13081235487	698	2021-10-28T12:05:47+00:00	2021-10-28T11:54:09+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13081235487	[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'yes'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'This was a good refresher for Working Wage Loss'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'yes'}]}]}]
13081275004		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=xUryZBZ3CiaRCjF1rTbgL9k5cKB7lUwgppDpb1VqShfpzZJmaLkub2tKWknhGL3o	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13081275004	782	2021-10-28T12:21:45+00:00	2021-10-28T12:08:43+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13081275004	"[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'Yes'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'It was good to see all the ""Good Faith"" job search information.'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'Yes'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'Any topics are fine as long as they are presented as they were in this workshop, as I found this to be a very productive use our our time. Thank you.'}]}]}]"
13081322616		default	completed					192.131.99.186		[]	411091936	313524368	https://www.surveymonkey.com/r/?sm=R6HywnhSj3Zd_2FCbwsHNf1OuBqneIl1Nz_2BDwAdXIz2G9UO9nwjY9r3VqNnrbK5unN	https://www.surveymonkey.com/analyze/browse/rlBahgNDycoXHznWxlgAQ3mPNAtYRbJxxFhM8Kab1Jo_3D?respondent_id=13081322616	164	2021-10-28T12:40:37+00:00	2021-10-28T12:37:53+00:00	https://api.surveymonkey.com/v3/surveys/313524368/responses/13081322616	"[{'id': '181221499', 'questions': [{'id': '720710845', 'answers': [{'tag_data': [], 'text': 'Yes and very well explained'}]}, {'id': '720710846', 'answers': [{'tag_data': [], 'text': 'The ""amount"" of time as opposed to the ""amount"" of job searches (different way of thinking)'}]}, {'id': '720710847', 'answers': [{'tag_data': [], 'text': 'For the most part... still unclear (some) on the compliance letter part but will research this'}]}, {'id': '720710848', 'answers': [{'tag_data': [], 'text': 'Maybe more in depth on WWL/NWWL '}]}]}]"
