SURVEY_ID,QUESTION_ID,ANSWER_ID,ANSWER_TXT
163761262,196298124,1356650445,"Employee of company"
163761262,196298124,1356650447,"CPA/Accounting firm"
163761262,196298124,1356650449,"Third Party Administrator"
163761262,196298124,1356650451,"Other (please specify)"
163761262,196298738,1356654768,"Yes"
163761262,196298738,1356654769,"No"
163761262,337569385,2230711901,"Yes"
163761262,337569385,2230711903,"No"
163761262,196299832,1356661678,"Less than one hour"
163761262,196299832,1356661679,"One to two hours"
163761262,196299832,1356661680,"Three to four hours"
163761262,196299832,1356661681,"Five to six hours"
163761262,196299832,1356661682,"Seven to eight hours"
163761262,196299832,1356661683,"One and a half days"
163761262,196299832,1356661685,"Two days or more"
163761262,196300365,1356665118,"Yes"
163761262,196300365,1356665119,"No"
163761262,196300707,1356667373,"Yes"
163761262,196300707,1356667374,"No"
163761262,196301677,1356673452,"Excellent"
163761262,196301677,1356673453,"Good"
163761262,196301677,1356673454,"Neutral"
163761262,196301677,1356673455,"Poor"
163761262,196301677,1356673456,"Very Poor"
163761262,196302431,1356678613,"Excellent"
163761262,196302431,1356678614,"Good"
163761262,196302431,1356678615,"Neutral"
163761262,196302431,1356678617,"Poor"
163761262,196302431,1356678619,"Very Poor"
163761262,196302648,1356679853,"Yes"
163761262,196302648,1356679854,"No"
163761262,196302895,1356681386,"Yes"
163761262,196302895,1356681387,"No"
163761262,196303690,1356686341,"Excellent"
163761262,196303690,1356686342,"Good"
163761262,196303690,1356686344,"Neutral"
163761262,196303690,1356686346,"Poor"
163761262,196303690,1356686365,"Very Poor"
163761262,196304380,1356691663,"Very Satisfied"
163761262,196304380,1356691664,"Satisfied"
163761262,196304380,1356714389,"Neutral"
163761262,196304380,1356691665,"Unsatisfied"
163761262,196304380,1356691666,"Very Unsatisfied"
163761262,196305327,1356697988,"Excellent"
163761262,196305327,1356697989,"Good"
163761262,196305327,1356697990,"Neutral"
163761262,196305327,1356697991,"Poor"
163761262,196305327,1356697992,"Very Poor"
163761262,196306095,1356702816,"Excellent"
163761262,196306095,1356702817,"Good"
163761262,196306095,1356702818,"Neutral"
163761262,196306095,1356702820,"Poor"
163761262,196306095,1356702821,"Very Poor"
163761262,196308889,1356723897,"Excellent"
163761262,196308889,1356723898,"Good"
163761262,196308889,1356723899,"Neutral"
163761262,196308889,1356723900,"Poor"
163761262,196308889,1356723901,"Very Poor"
