SURVEY_ID,QUESTION_ID,ANSWER_ID,ANSWER_TXT
303452492,629130424,4134629426,"Strongly Disagree"
303452492,629130424,4134629427,""
303452492,629130424,4134629428,"Disagree"
303452492,629130424,4134629429,""
303452492,629130424,4134629430,"Slightly Agree"
303452492,629130424,4134629431,""
303452492,629130424,4134629432,"Agree"
303452492,629130424,4134629433,""
303452492,629130424,4134629434,"Strongly Agree"
303452492,629130424,4134629435,""
303452492,629130424,4134629436,"Exceeded Expectations"
303452492,629145920,4134648095,"Strongly Disagree"
303452492,629145920,4134648096,""
303452492,629145920,4134648098,"Disagree"
303452492,629145920,4134648099,""
303452492,629145920,4134648100,"Slightly Agree"
303452492,629145920,4134648101,""
303452492,629145920,4134648102,"Agree"
303452492,629145920,4134648103,""
303452492,629145920,4134648104,"Strongly Agree"
303452492,629145920,4134648097,""
303452492,629145920,4134648105,"Exceeded Expectations"
303452492,629146035,4134648829,"Strongly Disagree"
303452492,629146035,4134648830,""
303452492,629146035,4134648832,"Disagree"
303452492,629146035,4134648833,""
303452492,629146035,4134648834,"Slightly Agree"
303452492,629146035,4134648835,""
303452492,629146035,4134648836,"Agree"
303452492,629146035,4134648837,""
303452492,629146035,4134648838,"Strongly Agree"
303452492,629146035,4134648831,""
303452492,629146035,4134648839,"Exceeded Expectations"
303452492,629146064,4134648956,"Very Dissatisfied"
303452492,629146064,4134648957,""
303452492,629146064,4134648959,"Dissatisfied"
303452492,629146064,4134648960,""
303452492,629146064,4134648961,"Slightly Satisfied"
303452492,629146064,4134648962,""
303452492,629146064,4134648963,"Satisfied"
303452492,629146064,4134648964,""
303452492,629146064,4134648965,"Very Satisfied"
303452492,629146064,4134648958,""
303452492,629146064,4134648966,"Exceeded Expectations"
